symbol,name,sector,impact,first_hop
COF,Capital One,Financials,0.0006846894609175046,2
ARES,Ares Management,Financials,0.0006832011592328442,2
CAT,Caterpillar Inc.,Industrials,0.0006766692843392177,2
QCOM,Qualcomm,Information Technology,0.0006735119000255462,2
EXE,Expand Energy,Energy,0.0006710317914377122,2
UDR,"UDR, Inc.",Real Estate,0.0006577750143540867,2
BX,Blackstone Inc.,Financials,0.0006495601142882959,2
ROK,Rockwell Automation,Industrials,0.0006379250843647184,2
MSI,Motorola Solutions,Information Technology,0.0006331497115839412,2
DELL,Dell Technologies,Information Technology,0.0006234628690354793,2
SJM,J.M. Smucker Company (The),Consumer Staples,0.0006214562406605872,2
HSY,Hershey Company (The),Consumer Staples,0.0006181602700152894,2
JBL,Jabil,Information Technology,0.0006086253228805201,2
PSX,Phillips 66,Energy,0.0005999258370639632,2
APO,Apollo Global Management,Financials,0.0005987065559294798,2
APA,APA Corporation,Energy,0.000594453215820012,2
TRMB,Trimble Inc.,Information Technology,0.0005907602338861478,2
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,0.0005891008877445963,2
AVB,AvalonBay Communities,Real Estate,0.0005808173807846337,2
DVN,Devon Energy,Energy,0.0005808039646599292,2
UAL,United Airlines Holdings,Industrials,0.0005791071240370841,2
JKHY,Jack Henry & Associates,Financials,0.0005789607596645029,2
OXY,Occidental Petroleum,Energy,0.0005559890037452678,2
WDC,Western Digital,Information Technology,0.0005491290470211443,2
COP,ConocoPhillips,Energy,0.0005426985314388289,2
VLO,Valero Energy,Energy,0.0005400765463271904,2
MPC,Marathon Petroleum,Energy,0.0005173461286330859,2
EQR,Equity Residential,Real Estate,0.0005166189185440192,2
FIX,Comfort Systems USA,Industrials,0.0005132283763778201,2
PAYX,Paychex,Industrials,0.0004830992902815427,2
VST,Vistra Corp.,Utilities,0.00047700158248105564,2
HCA,HCA Healthcare,Health Care,0.0004694435460342815,2
RL,Ralph Lauren Corporation,Consumer Discretionary,0.0004672713119066704,2
AMD,Advanced Micro Devices,Information Technology,0.00046537349157310247,2
DOC,Healthpeak Properties,Real Estate,0.00045681595903844323,2
GS,Goldman Sachs,Financials,0.0004537682393620864,2
MNST,Monster Beverage,Consumer Staples,0.0004486509144625884,2
BR,Broadridge Financial Solutions,Industrials,0.0004414109082788979,2
GWW,W. W. Grainger,Industrials,0.00043917006928273207,2
IFF,International Flavors & Fragrances,Materials,0.0004372272944278831,2
TAP,Molson Coors Beverage Company,Consumer Staples,0.00043573216948439026,2
KIM,Kimco Realty,Real Estate,0.0004186206315834008,2
AMCR,Amcor,Materials,0.0004109254810513135,2
CDNS,Cadence Design Systems,Information Technology,0.00040412476762112124,2
MDT,Medtronic,Health Care,0.00040361708375741463,2
KEYS,Keysight Technologies,Information Technology,0.00040285383913538845,2
AVGO,Broadcom,Information Technology,0.0003971519489800089,2
PCG,PG&E Corporation,Utilities,0.0003910397863282798,2
MS,Morgan Stanley,Financials,0.00038509315430797285,2
KEY,KeyCorp,Financials,0.0003782818826026553,2
MLM,Martin Marietta Materials,Materials,0.00037349360904739696,2
KVUE,Kenvue,Consumer Staples,0.0003717297622520217,2
SRE,Sempra,Utilities,0.0003699201272131129,2
GPC,Genuine Parts Company,Consumer Discretionary,0.0003692027344769956,2
CIEN,Ciena,Information Technology,0.0003675056039600768,2
CFG,Citizens Financial Group,Financials,0.0003654385854475684,2
CINF,Cincinnati Financial,Financials,0.00036481127901706644,2
CRWD,CrowdStrike,Information Technology,0.0003642545826587708,2
LHX,L3Harris,Industrials,0.00035590925513321063,2
COIN,Coinbase,Financials,0.00035390118681298576,2
APP,AppLovin,Information Technology,0.00034423933920247317,2
NTAP,NetApp,Information Technology,0.00034008942207120515,2
EIX,Edison International,Utilities,0.00033621542490251937,2
FAST,Fastenal,Industrials,0.00033405680337880554,2
XOM,ExxonMobil,Energy,0.00033266309172603266,2
ANET,Arista Networks,Information Technology,0.0003295763891060324,2
BALL,Ball Corporation,Materials,0.00032730986491170765,2
ABBV,AbbVie,Health Care,0.000325646249830834,2
CEG,Constellation Energy,Utilities,0.0003234837849811315,2
CTAS,Cintas,Industrials,0.0003206562254508644,2
