symbol,name,sector,event_day_return,model_predicted,actual_post_event
KKR,KKR & Co.,Financials,-0.13897720410264675,-0.003193060645862822,-0.006653034569704994
ERIE,Erie Indemnity,Financials,0.025369030717221613,-0.0031137451770334064,-0.012597207089687763
FCX,Freeport-McMoRan,Materials,-0.12915750299612477,-0.0030678775545102217,-0.06662966184123144
KIM,Kimco Realty,Real Estate,-0.0519408255032588,-0.0027724670978209864,-0.015060585637434294
TXN,Texas Instruments,Information Technology,-0.08064217754853421,-0.002769725209725327,-0.0473904106457399
AVB,AvalonBay Communities,Real Estate,-0.04116007546086971,-0.0025880717179008615,-0.06145386553701376
SMCI,Supermicro,Information Technology,-0.08108936750285005,-0.0024752306747286277,0.04121797422459007
KDP,Keurig Dr Pepper,Consumer Staples,0.01869728792054779,-0.0024582066842238747,-0.025008294562783206
SBAC,SBA Communications,Real Estate,0.046319898469070385,-0.0024431066712951627,-0.08432559812468028
MDT,Medtronic,Health Care,-0.006803633257758577,-0.002430661251640091,-0.06280284762309331
ARES,Ares Management,Financials,-0.13483245231280122,-0.0024263955386980137,0.03889973253814671
CCL,Carnival,Consumer Discretionary,-0.11520764726006888,-0.0024145279780987553,0.018349116490356907
TRMB,Trimble Inc.,Information Technology,-0.08121600577880456,-0.002257595478384391,-0.0378679097176825
JCI,Johnson Controls,Industrials,-0.0525872123437727,-0.0022462817632890805,-0.013032960912569579
EQR,Equity Residential,Real Estate,-0.03905224681962581,-0.0022347949682659917,-0.06447053371901616
HSY,Hershey Company (The),Consumer Staples,-0.01658525339205058,-0.0022045480559238365,-0.016560322775870637
KMI,Kinder Morgan,Energy,-0.032300950579619625,-0.0022004861766233706,-0.07216730024084926
ETR,Entergy,Utilities,-0.007029243259757069,-0.002142765302577059,-0.05783632108313615
LIN,Linde plc,Materials,0.00027833673720767393,-0.0020809022200295024,-0.07865252091388181
DAL,Delta Air Lines,Industrials,-0.09152201516538883,-0.0020153321727306535,0.01665223396317972
BX,Blackstone Inc.,Financials,-0.0703442038014695,-0.001988896647438608,-0.04337669959017941
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,-0.15581348631750425,-0.0019854932183514746,0.023031385783662706
SJM,J.M. Smucker Company (The),Consumer Staples,-0.001688955060941248,-0.0019582950611356058,-0.033953922738552834
CAH,Cardinal Health,Health Care,-0.00029182696207653673,-0.0019082905256951077,-0.06175592182823145
VRSN,Verisign,Information Technology,0.0017632419832956429,-0.0018693633620227284,-0.05042204713208506
PEG,Public Service Enterprise Group,Utilities,-0.020752064228629227,-0.0018643860200122618,-0.003931671174932959
FRT,Federal Realty Investment Trust,Real Estate,-0.04545518803135036,-0.0018246165217376974,-0.040965868752210886
PSA,Public Storage,Real Estate,-0.01388167806018124,-0.0017213050214229101,-0.05822072357172695
GS,Goldman Sachs,Financials,-0.07027653584154475,-0.0016606290092785203,-0.042822460706663124
YUM,Yum! Brands,Consumer Discretionary,0.015794568646119125,-0.0016289285185808982,-0.10401941774296382
INTC,Intel,Information Technology,0.017086794845388067,-0.001623602234562252,-0.12068520312434647
SYF,Synchrony Financial,Financials,-0.13444362151816325,-0.0016062192829984887,0.0015022499683192414
HOOD,Robinhood Markets,Financials,-0.09706698047175927,-0.0015872056549213517,0.05714389563911398
EMR,Emerson Electric,Industrials,-0.07658661227689643,-0.0015496613883351966,-0.021427139596067256
INVH,Invitation Homes,Real Estate,-0.016341045683686734,-0.001538866669094549,-0.0716442962342406
SWKS,Skyworks Solutions,Information Technology,-0.12969226127568487,-0.0015078791746116012,-0.052815206089018865
CINF,Cincinnati Financial,Financials,-0.018826485309683814,-0.0014621508975111602,-0.09489562040207171
DD,DuPont,Materials,-0.09961960560249533,-0.0014379570835299205,-0.16170348742001023
FDS,FactSet,Financials,-0.044428781438057965,-0.0013760990373564807,-0.04793385013025156
NEE,NextEra Energy,Utilities,0.017056135763742514,-0.001373215768501729,-0.0781039384155793
IBKR,Interactive Brokers,Financials,-0.08183540504517708,-0.0013244472370940756,0.029836314539797827
APO,Apollo Global Management,Financials,-0.11409496442858477,-0.0012970485832583785,0.0038806549492339318
NOC,Northrop Grumman,Industrials,0.004026245295369001,-0.0012568107811122475,0.0017842988223167582
COF,Capital One,Financials,-0.08290851903755353,-0.0012035927465420422,-0.011526688582703115
CDNS,Cadence Design Systems,Information Technology,-0.03892555496571383,-0.0011999093694561405,0.020321620838673407
EG,Everest Group,Financials,-0.010039038035280973,-0.0011679346827485285,-0.057926233002400136
APP,AppLovin,Information Technology,-0.0761181009744504,-0.00112930322729515,0.007036698533699232
LMT,Lockheed Martin,Industrials,0.013592929893412584,-0.0010981345360992747,0.019424038313012145
IVZ,Invesco,Financials,-0.09379708114460747,-0.0010783029440373465,-0.08602592572011077
