symbol,name,sector,impact,first_hop
APP,AppLovin,Information Technology,0.0022131036769140644,1
ECL,Ecolab,Materials,0.002204593549783694,1
AMZN,Amazon,Consumer Discretionary,0.002200864748271702,1
IR,Ingersoll Rand,Industrials,0.00219021805592725,1
MSI,Motorola Solutions,Information Technology,0.0021117208949901676,1
ADM,Archer Daniels Midland,Consumer Staples,0.002109702104898481,1
XYZ,"Block, Inc.",Financials,0.0021022444642076754,1
ROK,Rockwell Automation,Industrials,0.0020855486618701255,1
TEL,TE Connectivity,Information Technology,0.002084889614602435,1
MRK,Merck & Co.,Health Care,0.002054162606797619,1
NTAP,NetApp,Information Technology,0.0020526519598676437,1
PLTR,Palantir Technologies,Information Technology,0.002016784369528449,1
TSLA,"Tesla, Inc.",Consumer Discretionary,0.002006556882226801,1
CMI,Cummins,Industrials,0.001964889680610785,1
FCX,Freeport-McMoRan,Materials,0.0019591320849688563,1
OTIS,Otis Worldwide,Industrials,0.001956338869571264,1
ZBH,Zimmer Biomet,Health Care,0.0019275144180720375,1
MGM,MGM Resorts,Consumer Discretionary,0.0019127543328960085,1
STZ,Constellation Brands,Consumer Staples,0.0019126799387763265,1
CRH,CRH plc,Materials,0.0018915440098639668,1
ABNB,Airbnb,Consumer Discretionary,0.0018618256186144042,1
EA,Electronic Arts,Communication Services,0.0016390693429030074,1
PAYX,Paychex,Industrials,0.000717234710904077,2
PWR,Quanta Services,Industrials,0.0006730587944302644,2
CEG,Constellation Energy,Utilities,0.000658159438125957,2
NRG,NRG Energy,Utilities,0.0006202181342000706,2
GLW,Corning Inc.,Information Technology,0.000535537507656242,2
BR,Broadridge Financial Solutions,Industrials,0.0005171268428508099,2
AIZ,Assurant,Financials,0.0004291052342850895,2
KMI,Kinder Morgan,Energy,0.0004060594212220655,2
STX,Seagate Technology,Information Technology,0.00040436561880683234,2
EG,Everest Group,Financials,0.0003857847849946845,2
SWKS,Skyworks Solutions,Information Technology,0.0003532537163817735,2
HBAN,Huntington Bancshares,Financials,0.00033880686247029276,2
CRWD,CrowdStrike,Information Technology,0.0003269160566700849,2
SMCI,Supermicro,Information Technology,0.00032272429484327147,2
AIG,American International Group,Financials,0.0003219241901891226,2
AMP,Ameriprise Financial,Financials,0.00031110564568334284,2
RF,Regions Financial Corporation,Financials,0.0002971759228049676,2
WFC,Wells Fargo,Financials,0.0002809455490755861,2
GD,General Dynamics,Industrials,0.000270473105236765,2
V,Visa Inc.,Financials,0.00026975613824400106,2
TFC,Truist Financial,Financials,0.0002694065879485503,2
BAC,Bank of America,Financials,0.0002596701731721585,2
PFE,Pfizer,Health Care,0.00025638312643524406,2
TXN,Texas Instruments,Information Technology,0.0002560093955422051,2
MET,MetLife,Financials,0.0002557619317605534,2
RJF,Raymond James Financial,Financials,0.000254129185134442,2
BF-B,Brown–Forman,Consumer Staples,0.0002501075053422927,2
BDX,Becton Dickinson,Health Care,0.00024911654533309386,2
PNC,PNC Financial Services,Financials,0.0002455195404103701,2
MTB,M&T Bank,Financials,0.000244931216221601,2
JPM,JPMorgan Chase,Financials,0.0002423645989451681,2
FITB,Fifth Third Bancorp,Financials,0.00023589507629642395,2
JCI,Johnson Controls,Industrials,0.00023222532119617794,2
WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,0.0002308743115724876,2
BMY,Bristol Myers Squibb,Health Care,0.0002302740044719549,2
USB,U.S. Bancorp,Financials,0.00022999674200178965,2
WMB,Williams Companies,Energy,0.00021824714357906912,2
PRU,Prudential Financial,Financials,0.000217429401578368,2
STT,State Street Corporation,Financials,0.00021314165610968782,2
MA,Mastercard,Financials,0.00020957564813644993,2
SYK,Stryker Corporation,Health Care,0.000209104880580379,2
SPG,Simon Property Group,Real Estate,0.0001953806814414977,2
ORCL,Oracle Corporation,Information Technology,0.00018997303927029455,2
META,Meta Platforms,Communication Services,0.00018386490157900663,2
VRSN,Verisign,Information Technology,0.00018379776799645533,2
TT,Trane Technologies,Industrials,0.00018112780893166474,2
ITW,Illinois Tool Works,Industrials,0.00017668342023392347,2
ROP,Roper Technologies,Information Technology,0.00017191155278441429,2
DOV,Dover Corporation,Industrials,0.00016811482071071968,2
GILD,Gilead Sciences,Health Care,0.0001580152910996845,2
XOM,ExxonMobil,Energy,0.0001532268259985377,2
FDS,FactSet,Financials,0.00015107029091971855,2
HWM,Howmet Aerospace,Industrials,0.00015046470737329799,2
WY,Weyerhaeuser,Real Estate,0.00014853152039616022,2
NTRS,Northern Trust,Financials,0.00014627777865727104,2
CTAS,Cintas,Industrials,0.00014478389845520607,2
BLDR,Builders FirstSource,Industrials,0.0001427821088959579,2
LUV,Southwest Airlines,Industrials,0.00014145295084801334,2
RTX,RTX Corporation,Industrials,0.00014085331803096376,2
BALL,Ball Corporation,Materials,0.00013945858029828113,2
AMGN,Amgen,Health Care,0.00013891872734028357,2
TYL,Tyler Technologies,Information Technology,0.00013533688279992453,2
AVY,Avery Dennison,Materials,0.00013527714089214406,2
TROW,T. Rowe Price,Financials,0.00013219861198184507,2
MAR,Marriott International,Consumer Discretionary,0.00012724216068936726,2
PLD,Prologis,Real Estate,0.00012698216156802105,2
SPGI,S&P Global,Financials,0.0001222774366059566,2
DD,DuPont,Materials,0.0001200844246754984,2
BLK,BlackRock,Financials,0.00011628678235754776,2
ALGN,Align Technology,Health Care,0.00011483863743506956,2
GE,GE Aerospace,Industrials,0.00011441992263473805,2
ELV,Elevance Health,Health Care,0.0001131725156156983,2
DASH,DoorDash,Consumer Discretionary,0.00011210715811076882,2
WAB,Wabtec,Industrials,0.00011026327618963702,2
ARE,Alexandria Real Estate Equities,Real Estate,0.00010877846279012382,2
HPQ,HP Inc.,Information Technology,0.00010836599768765428,2
EXPE,Expedia Group,Consumer Discretionary,0.00010721700345387698,2
PFG,Principal Financial Group,Financials,0.00010654478906549139,2
SNPS,Synopsys,Information Technology,0.00010292186144461708,2
MLM,Martin Marietta Materials,Materials,0.00010185561777575707,2
MSFT,Microsoft,Information Technology,0.00010151913615708443,2
FIS,Fidelity National Information Services,Financials,9.78706714050607e-05,2
VMC,Vulcan Materials Company,Materials,9.780681506024338e-05,2
BG,Bunge Global,Consumer Staples,9.355759469067664e-05,2
GL,Globe Life,Financials,8.288506822633291e-05,2
BXP,"BXP, Inc.",Real Estate,7.969913905209294e-05,2
NDAQ,"Nasdaq, Inc.",Financials,7.898993363419789e-05,2
