symbol,name,sector,sub_industry,degree_centrality,weighted_degree,betweenness,eigenvector,closeness
EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,0.112,23.139309273746303,4.008016032064128e-05,0.043490240486901435,0.15171792156702135
EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,0.014,3.4844360082655124,0.002308617234468938,0.00028772656520270005,0.11488395371579116
ERIE,Erie Indemnity,Financials,Insurance Brokers,0.056,10.09502564536836,0.0,0.016005004928235634,0.13998570113779346
ES,Eversource Energy,Utilities,Electric Utilities,0.188,38.58543227613317,0.0,0.07877829616368714,0.17444475625894185
ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,0.058,12.75343734795626,0.0003527054108216433,0.01984884473397213,0.14270491397608465
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,0.246,47.97391135347088,0.011991983967935872,0.07345249425585243,0.17196617132488187
ETR,Entergy,Utilities,Electric Utilities,0.10400000000000001,23.410071866427877,0.0021402805611222446,0.051895086577553436,0.1652274949670295
EVRG,Evergy,Utilities,Electric Utilities,0.332,74.24199604466838,0.006060120240480962,0.12762074104027707,0.2002730671948538
EW,Edwards Lifesciences,Health Care,Health Care Equipment,0.01,1.5626266279106926,2.404809619238477e-05,0.0013817841756436897,0.11664848393797933
EXC,Exelon,Utilities,Electric Utilities,0.358,79.4551301116569,0.0046332665330661325,0.13305519926545928,0.20355269851777472
EXE,Expand Energy,Energy,Oil & Gas Exploration & Production,0.014,3.306469720356406,0.0,0.0002591435600020356,0.11083004444479601
EXPD,Expeditors International,Industrials,Air Freight & Logistics,0.002,0.5113523291332361,0.0,1.1699127182864468e-13,0.0010227046582664723
EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0.012,2.0303594478002136,0.002380761523046092,0.002370448445354215,0.12156819078600306
EXR,Extra Space Storage,Real Estate,Self-Storage REITs,0.092,17.29744152721023,0.0003286573146292585,0.028728018898529165,0.14986451984341875
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,0.002,0.5203518620927663,0.0,1.226819267533747e-13,0.0010407037241855325
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,0.038,11.022091769052151,0.00028056112224448897,4.766915062164359e-05,0.10543964903284535
FAST,Fastenal,Industrials,Trading Companies & Distributors,0.004,0.9127077529151306,0.0,1.791038933610644e-05,0.09353266521579669
