symbol,name,sector,event_day_return,model_predicted,actual_post_event
ZBH,Zimmer Biomet,Health Care,-0.030545106984016794,-0.0003267383718376117,0.015389210099399
TEL,TE Connectivity,Information Technology,-0.013571717880499523,-0.0003154127179595743,0.00013943455389487346
DOC,Healthpeak Properties,Real Estate,-0.023821964701234745,-0.0003143139819974725,0.031793530964823416
CAH,Cardinal Health,Health Care,-0.032409385595198896,-0.0002939312118995687,0.005677314373336861
MAR,Marriott International,Consumer Discretionary,-0.010917047883675002,-0.00029343828407943714,0.020836368076891876
MRK,Merck & Co.,Health Care,-0.025406899704707345,-0.00028221652893409244,0.01423358332071311
SRE,Sempra,Utilities,-0.0379002969398635,-0.00025742044938027595,-0.014462312326165152
IR,Ingersoll Rand,Industrials,-0.004356333503950294,-0.0002495672604342942,0.03876126861737904
WMT,Walmart,Consumer Staples,-0.012789332031361405,-0.0002495194330630883,0.0010350438901977916
ECL,Ecolab,Materials,-0.025404242648769424,-0.0002329847799734317,0.025235740527768585
SWK,Stanley Black & Decker,Industrials,-0.030052622868638686,-0.00023083613644559806,-0.013358069083096152
TXN,Texas Instruments,Information Technology,-0.034019362168328134,-0.00022529468094803273,0.0646971625892414
COST,Costco,Consumer Staples,-0.024941245888521535,-0.00022357681034263608,0.0458266039743782
MSI,Motorola Solutions,Information Technology,-0.02632440411620597,-0.00020366266135691738,0.03089592329127604
FCX,Freeport-McMoRan,Materials,-0.026558967032782238,-0.0002035638880680745,0.0041510295026411445
ESS,Essex Property Trust,Real Estate,-0.03262203217971646,-0.00020219475808077727,0.024171880009780815
URI,United Rentals,Industrials,-0.004208694118317415,-0.00019701101386346523,0.03041754732376652
ERIE,Erie Indemnity,Financials,-0.0028355656611074396,-0.00019601661187410255,0.01936872065894868
CI,Cigna,Health Care,-0.03505418088554733,-0.0001932945515970223,0.028182685354300664
LHX,L3Harris,Industrials,-0.013514671008382094,-0.00019307122282581448,0.01538091034776302
STZ,Constellation Brands,Consumer Staples,-0.043535585834828514,-0.00018942491687034795,0.014487194037608718
SWKS,Skyworks Solutions,Information Technology,-0.048933575568502585,-0.0001877829912862184,0.030425267247049442
KMI,Kinder Morgan,Energy,-0.029442740707672343,-0.0001771780251373502,0.04812597290136979
AMP,Ameriprise Financial,Financials,-0.024223564001098263,-0.00017625816470466448,0.022726549605379204
HLT,Hilton Worldwide,Consumer Discretionary,-0.015438552769937134,-0.00017329808660044685,0.015828893329651598
OTIS,Otis Worldwide,Industrials,-0.00926973803161102,-0.0001715184787093342,-0.008492475536677912
WFC,Wells Fargo,Financials,-0.021636801360508308,-0.0001650538368426813,0.012204572301290137
ROK,Rockwell Automation,Industrials,-0.020728445778078218,-0.00016452039998460824,0.0428515761054816
TFC,Truist Financial,Financials,-0.02257006420878486,-0.00016269097591715184,0.021382172029560276
JPM,JPMorgan Chase,Financials,-0.02152152343767084,-0.00015885784670114007,0.04592766868871403
BAC,Bank of America,Financials,-0.025058574651930957,-0.00015819151318344666,0.04168382784965387
CMI,Cummins,Industrials,-0.026912125083670087,-0.00015567836145002981,0.05033057425900905
ABNB,Airbnb,Consumer Discretionary,-0.023034845458031136,-0.00015372863561675064,-0.08899386949841634
PNC,PNC Financial Services,Financials,-0.024895659887307495,-0.0001529678352394875,0.026541220958687058
MTB,M&T Bank,Financials,-0.014398714587134128,-0.00015213749253232208,0.013658778883343794
PFE,Pfizer,Health Care,-0.022936095826563623,-0.00015135394820436134,-0.03350735178376491
RJF,Raymond James Financial,Financials,-0.024236303890664893,-0.00014951245056129552,0.02341022001740476
FITB,Fifth Third Bancorp,Financials,-0.008124043094913118,-0.00014768234206744105,0.010901425906415262
USB,U.S. Bancorp,Financials,-0.037286240105810886,-0.000142504182617677,0.02325677992514162
AIZ,Assurant,Financials,-0.02312257344886568,-0.00013906363301274138,0.005772317985869232
MET,MetLife,Financials,-0.03754408811361236,-0.00013617097913428905,0.032615210207423556
TT,Trane Technologies,Industrials,-0.013403877468472394,-0.0001295676370961351,0.04182329420457236
STT,State Street Corporation,Financials,-0.04810432696928274,-0.00012686634090052645,0.008265565103139043
PRU,Prudential Financial,Financials,-0.04384602881330325,-0.0001228903269917483,0.029780602023404105
BALL,Ball Corporation,Materials,-0.03264579100718919,-0.00012286635424804945,0.008261904078116552
BF-B,Brown–Forman,Consumer Staples,-0.023394113270547866,-0.00011906602095269405,-0.0002255580188007117
CRH,CRH plc,Materials,-0.02470843042623617,-0.00011767103490267039,0.05534209725205755
AXON,Axon Enterprise,Industrials,-0.02143476175989895,-0.00011336146838774992,0.2527810266302736
EG,Everest Group,Financials,-0.02173788101881208,-0.00011199961599913286,0.02193016349382238
MGM,MGM Resorts,Consumer Discretionary,-0.04055192182380018,-0.00010937323580763985,0.09565705280331498
HWM,Howmet Aerospace,Industrials,-0.03855541047277082,-0.00010039923042681462,0.058323180165221894
GILD,Gilead Sciences,Health Care,-0.02559488491146567,-9.832747081918478e-05,0.010105079937714529
NTRS,Northern Trust,Financials,-0.028800387066029668,-9.546103125134079e-05,0.012290733270566099
ROP,Roper Technologies,Information Technology,-0.035122630709257134,-9.530021425107917e-05,0.010552141215909349
AIG,American International Group,Financials,-0.02547101401851279,-9.151492327936746e-05,0.027830265999524394
WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,-0.03953556139303211,-9.103782998470121e-05,0.037602579808564476
DOV,Dover Corporation,Industrials,-0.015395414581381562,-8.671100015273101e-05,0.021873246425629746
V,Visa Inc.,Financials,-0.03877950851276313,-8.663936269690602e-05,0.013132745934983358
XOM,ExxonMobil,Energy,-0.018217666356404497,-7.847503973652701e-05,0.026821823488567625
AMGN,Amgen,Health Care,-0.02660898521450548,-7.384691215812727e-05,-0.001631024164741715
MA,Mastercard,Financials,-0.04429824197464835,-7.245166932890102e-05,0.030261364905108706
TYL,Tyler Technologies,Information Technology,-0.01187971510186135,-7.15114221605176e-05,0.018302182570684108
BDX,Becton Dickinson,Health Care,-0.02550114406999935,-7.1037157305546e-05,-0.005912694060020907
GE,GE Aerospace,Industrials,-0.012051605768751215,-7.103578496653211e-05,0.04476482506457494
SNPS,Synopsys,Information Technology,-0.03611431398673901,-7.093797619260034e-05,0.054237732544973695
LOW,Lowe's,Consumer Discretionary,-0.01424289815912339,-7.074236528072148e-05,-0.0029154439029627673
NOW,ServiceNow,Information Technology,-0.011921995233735485,-7.01029084572362e-05,0.018854243183002342
NVR,"NVR, Inc.",Consumer Discretionary,-0.032153325119715366,-6.661660285260219e-05,0.017911750482820413
GD,General Dynamics,Industrials,-0.022446217937587085,-6.18895804064071e-05,0.01699354054615734
SPGI,S&P Global,Financials,-0.029333049439746073,-6.1771492208976e-05,0.03169637320566279
INTU,Intuit,Information Technology,-0.034154561202293404,-6.129162502066734e-05,0.037674587476488934
CRM,Salesforce,Information Technology,-0.02053987575691074,-5.973087732856682e-05,0.041429390420279405
ALGN,Align Technology,Health Care,-0.026340430603802333,-5.909999699389191e-05,0.029427087269515307
WMB,Williams Companies,Energy,-0.023011414178256705,-5.909472068501729e-05,0.06159388458919034
ACN,Accenture,Information Technology,-0.02955188773348754,-5.903168629980897e-05,0.006797661519163855
PFG,Principal Financial Group,Financials,-0.033302765517185556,-5.860760595710601e-05,0.02022180496569153
DDOG,Datadog,Information Technology,-0.021487951131353416,-5.759172224962712e-05,0.083049997647041
DLR,Digital Realty,Real Estate,-0.04314759126612029,-5.701355794922716e-05,0.03529409640688136
FIS,Fidelity National Information Services,Financials,-0.021202215275558697,-5.469578547172505e-05,0.048659363297942515
IFF,International Flavors & Fragrances,Materials,-0.01604221072545774,-5.37538428058323e-05,0.009886458207397872
HD,Home Depot (The),Consumer Discretionary,-0.01536649319783259,-5.343256949087972e-05,-0.004782846572648592
