symbol,name,sector,event_day_return,model_predicted,actual_post_event
ABT,Abbott Laboratories,Health Care,0.024683037625051744,0.0001985963843176911,-0.008822054842302664
KMB,Kimberly-Clark,Consumer Staples,0.011339085617168143,0.00019569058579535473,0.010159688556905695
PEG,Public Service Enterprise Group,Utilities,0.012491001247416741,0.00019436085807981787,-0.02634690836063002
KHC,Kraft Heinz,Consumer Staples,0.007799166289661127,0.0001850194563504461,0.02030223657462377
MSFT,Microsoft,Information Technology,-0.010588101090918295,0.00018444760455732414,-0.011457589722462644
GEV,GE Vernova,Industrials,0.021277394719334285,0.00018181857834617947,0.03361115743170806
ETR,Entergy,Utilities,0.033174077368328204,0.00017785354499105538,-0.00018433839424565092
LIN,Linde plc,Materials,0.008521114319771367,0.0001771586045533662,0.024620323728642982
OKE,Oneok,Energy,0.005806995730222991,0.00017533587859131926,0.02572169568681454
DOV,Dover Corporation,Industrials,0.0390274400441057,0.00017373300231810615,0.050279473285196996
CEG,Constellation Energy,Utilities,0.004066434100016758,0.00017338354642124968,-0.05673519141212603
EME,Emcor,Industrials,0.03220752464033896,0.00017128409394164579,0.04091307282473607
EMR,Emerson Electric,Industrials,0.0407673041635999,0.00016970950057247435,0.040517056894485676
C,Citigroup,Financials,-0.012702378566556753,0.00016944054416024887,0.023463167780573013
JNJ,Johnson & Johnson,Health Care,0.017860720303576202,-0.000169256820208493,0.008712671107217199
TRGP,Targa Resources,Energy,0.009021977797284347,0.0001674181758310909,0.009015419425667501
CPB,Campbell's Company (The),Consumer Staples,-0.0011023942667301393,0.00016381534555064245,0.016843795889697
ICE,Intercontinental Exchange,Financials,0.03239099156539054,0.00016289750713487387,0.011956923532021314
EG,Everest Group,Financials,0.018629064635348774,0.0001589696400825051,0.038201495555036796
EXE,Expand Energy,Energy,0.011324100973719877,0.0001561459950504484,-0.007816783892169013
ERIE,Erie Indemnity,Financials,0.01643918290410488,0.00015314217155058037,0.047071614946353015
ARES,Ares Management,Financials,0.04582497602509414,0.00015107272776320433,0.04774353723072061
AIZ,Assurant,Financials,0.030049422621251574,0.00015089727802805144,0.021973836214782456
BR,Broadridge Financial Solutions,Industrials,0.017251231061238572,0.00015079796427758978,0.03035000275109533
CTRA,Coterra,Energy,0.019076704480939177,0.00014994051977787104,0.013981144192337733
A,Agilent Technologies,Health Care,0.042154450101133605,0.00014880340208578316,0.03927346605150729
CLX,Clorox,Consumer Staples,0.02242383664563025,0.00014829157506494542,0.0075359985328165985
HPQ,HP Inc.,Information Technology,0.01901641923891262,0.00014709192945019435,0.05129336849994072
LMT,Lockheed Martin,Industrials,0.00017383440914007955,0.00014261994975271083,0.017654646465399756
TMO,Thermo Fisher Scientific,Health Care,0.020158016179102137,0.00014214813954718233,0.023186432465655996
DELL,Dell Technologies,Information Technology,-0.035051915246393825,0.00013946117760901258,-0.046994067579192514
FDX,FedEx,Industrials,0.02299726982219931,0.00013919963225314768,0.04561525036355331
AIG,American International Group,Financials,0.01584712626650615,0.00013876208662788147,0.017134196179163935
CIEN,Ciena,Information Technology,0.025146568680128448,0.00013817902402960978,0.0753443912650746
TECH,Bio-Techne,Health Care,0.06883383051254682,0.00013588067344416795,0.04418404816001547
APH,Amphenol,Information Technology,0.013174278384074204,0.00013477201647388434,0.012577290456014117
ADI,Analog Devices,Information Technology,0.007429104364678578,0.00013133471377319727,0.04020912074819772
V,Visa Inc.,Financials,-0.010947444912305294,0.0001307833038101664,0.02519874457157624
KKR,KKR & Co.,Financials,0.030501787289658078,0.0001275746090861844,0.06937874632060027
AXP,American Express,Financials,0.004197351406540185,0.0001269405111774279,0.04456290352341856
WFC,Wells Fargo,Financials,0.004665090162956298,0.00012557362345760957,0.0013289612437819634
CFG,Citizens Financial Group,Financials,0.051017622948382746,0.00012273118927299132,0.03599361394372719
DHR,Danaher Corporation,Health Care,0.026664908142294524,0.00012243931306467177,0.02355613315670494
WAT,Waters Corporation,Health Care,0.06336282614573557,0.00012219866990210524,0.04934599519928785
TGT,Target Corporation,Consumer Staples,0.0254194756260335,0.00012164694268174741,0.02356432701890511
SJM,J.M. Smucker Company (The),Consumer Staples,0.016054141489913416,0.0001200832929580617,0.05564756457862887
NOC,Northrop Grumman,Industrials,0.019375388233614416,0.00011895388820669912,0.007241962279990744
HRL,Hormel Foods,Consumer Staples,0.02725496316105643,0.00011863217494542362,0.02492818893186059
APP,AppLovin,Information Technology,-0.03239243053894202,-0.00011860221668594465,0.05364994341463137
KEY,KeyCorp,Financials,0.05711951574482868,0.00011829808905146572,0.05528398218046118
BX,Blackstone Inc.,Financials,0.043009553071518714,0.0001170533796044615,0.07894241058561993
IQV,IQVIA,Health Care,0.02955196348490858,0.00011524403754158868,0.05983083739598545
TSN,Tyson Foods,Consumer Staples,0.017200549429744895,0.00011429178538584529,0.03777934743779997
IVZ,Invesco,Financials,0.04869640030303179,0.00011124170416817347,0.03018384764453938
TJX,TJX Companies,Consumer Discretionary,0.015834630734195297,0.00011040045101671386,0.009433975049583168
AXON,Axon Enterprise,Industrials,-0.024930508995892504,-0.0001102982795877726,0.09266517772485386
APO,Apollo Global Management,Financials,0.03718147860770424,0.00010746238064642235,0.023664934947024742
BAC,Bank of America,Financials,0.00937164058472935,0.00010707603223707327,0.05400439775597496
TEL,TE Connectivity,Information Technology,0.03284143109858079,0.00010626048999813942,0.03117108039252363
QCOM,Qualcomm,Information Technology,-0.03573122626711766,0.00010370108707288281,0.04782465349006768
YUM,Yum! Brands,Consumer Discretionary,0.0223290093023097,0.00010235152953811072,-0.004643380361095387
MA,Mastercard,Financials,-0.018794793007606996,0.0001012356348023984,0.01616024278075713
CCL,Carnival,Consumer Discretionary,0.012215732744193571,9.875550053780037e-05,0.05685174866110526
RJF,Raymond James Financial,Financials,0.01696148048685999,9.806126381370791e-05,-0.06141705569441869
DAL,Delta Air Lines,Industrials,-0.04136421525394112,9.784904754499732e-05,0.02263592774794152
