clustering,avg_path_length,sigma,modularity,nmi,gamma,bootstrap_id
0.5670362650204359,2.4003386247178127,3.6163771225176657,0.2104506514186001,0.3294056175010816,1.6063458701069346,97
0.5647137676616973,2.544214592198107,3.6674191430551706,0.24209587943250033,0.34729080314220523,2.9752481615081097,98
0.6015833286606602,2.37997245686517,3.5365314088089743,0.20003414379801385,0.3002347948451569,1.509592936113119,99
0.5368114090816186,2.6529946420858184,4.404471442787091,0.2683896493968711,0.4219514969456842,1.7470560637579287,100
0.5488188564023183,2.5532707028531663,4.3078278320092345,0.2805685707377821,0.34711049074753103,1.7342671660932132,101
0.564416040650767,2.4463917616203084,3.5763453864828003,0.21524881934562587,0.27626767921865253,1.5767173797379648,102
0.5429045577736381,2.6228081717147793,4.352489969481211,0.2726596613393891,0.34687808619805255,2.719839434338402,103
0.590492091852404,2.5227614408563355,3.6166236454670453,0.21068467812464892,0.36491553338335586,1.561968747449127,104
0.5529104742745115,2.5900455097352397,3.8893334234083463,0.2438999008483729,0.4037073421763695,2.7489151034004133,105
0.5482701953155038,2.602035331637224,4.095621355393419,0.27459485757030105,0.36293576479107603,1.7029198063559303,106
0.5308797770090725,2.759307128580946,4.576666546938041,0.31516705755223334,0.3869043160499879,2.898556996866777,107
0.550000646778208,2.514878372401592,4.135910937031851,0.26011888210050066,0.36234608904341015,1.7471683718719182,108
0.5475551735861129,2.5621349482208764,4.185183412443696,0.2906749948572322,0.3602651888650603,1.7419536103926327,109
0.5874477092200336,2.3816392198134935,3.745354211394929,0.23399183664511797,0.29716891663560907,1.6077157005155154,110
0.531733138403055,2.493750054594212,4.206585747686737,0.28276827942682725,0.31331538552503146,2.996265813608864,111
0.5144443834835873,2.5980645339166077,4.0314228689861835,0.2825443044354003,0.38518181372567,1.7175315617297944,112
0.5509175940109322,2.607559254600762,4.001519393212194,0.25768528906635413,0.38470612476100174,2.9721421474669203,113
0.529385414011426,2.7380507530503584,4.0936567625160505,0.26830811256787707,0.35785141860628933,1.6284476101683367,114
0.5510410238132654,2.7107005955983614,4.36788808267852,0.30767477576613156,0.3966226458010116,1.6638251965380138,115
0.5302641468601149,2.5797700132684653,4.327229846496662,0.3059584448791453,0.3577834678094254,2.983642325059651,116
